Aircraft,Total_Accidents,Fatal_Accidents,Total_Fatalities,Avg_Fatalities_Per_Accident,Units_Produced,Accidents_Per_Unit,Fatal_Accidents_Per_Unit
HERDER MICHAEL ZODIAC 601 HD,1,0,0.0,0.0,,,
HEREM DR-107,1,0,0.0,0.0,,,
HERINK H R/HERINK R W CHALLENGER,1,1,1.0,1.0,,,
HERMANN BJORN LANCAIR IV,1,1,1.0,1.0,,,
HERONIMUS KEVIN A GLASAIR III,1,1,1.0,1.0,,,
HERRICK DAVID A CHALLENGER II,1,0,0.0,0.0,,,
HERZOG AVIATION CCX-2000,1,0,0.0,0.0,,,
HESS JOHN L SPEZIO II,1,0,0.0,0.0,,,
HI-MAX 1700R,1,0,0.0,0.0,,,
HI-MAX HI-MAX,1,1,1.0,1.0,,,
HIBBARD NORMAN E THORP T-18,1,0,0.0,0.0,,,
HICKHAM LANCAIR IV-P,1,0,0.0,0.0,,,
HIER JAMES A LONG EZ,1,0,0.0,0.0,,,
HIGGINS JOHN H/WILLIAMS JOHN D QUESTAIR VENTURE,1,0,0.0,0.0,,,
HIGHER CLASS AVIATION SPORT HORNET,1,0,0.0,0.0,,,
HILDERSON OSWALD AVENTURA HP,1,0,0.0,0.0,,,
HILL GROUP LLC CCX-2000,1,0,0.0,0.0,,,
HILL HATZ CB-1,1,0,0.0,0.0,,,
HILLAM SCOTT L RANS S 10,1,1,1.0,1.0,,,
HILLARD CHARLIE R HAWKER FB60,1,0,0.0,0.0,,,
HILLER UH-12E,1,0,0.0,0.0,,,
HIMMEROEDER HANSGEORG BEARHAWK,1,0,0.0,0.0,,,
HIMSL VINCENT S VANS RV-8,1,0,0.0,0.0,,,
HINE T L/JOHNSON R BUSH WACKER,1,0,0.0,0.0,,,
HINTON PAUL M RV 4,1,1,2.0,2.0,,,
HIRN ASSOCIATES LTD ZODIAC CH601XL,1,0,0.0,0.0,,,
HITCHCOCK CHRISTEN EAGLE II,1,1,1.0,1.0,,,
HODGES SAMUEL J RV-7A,1,0,0.0,0.0,,,
HOFFIUS STOWE CHALLENGER II,1,1,1.0,1.0,,,
HOFFMAN DAVID J MURPHY ELITE,1,0,0.0,0.0,,,
HOFFMAN RV-4,1,1,1.0,1.0,,,
HOFFMAN ZENITH 701,1,1,1.0,1.0,,,
HOGAN INNOVATOR,1,1,1.0,1.0,,,
HOKE BOBBY F RANS S 12,1,0,0.0,0.0,,,
HOLDEN FRANK JOSEPH RANS S6ES,1,0,0.0,0.0,,,
HOLLAND MIKE RV9A,1,1,2.0,2.0,,,
HOLLEY CAROL L ANTARES,1,0,0.0,0.0,,,
HOLLIER B C VANS RV-8,1,0,0.0,0.0,,,
HOLLOMAN L B/HOLLOMAN E M SONEX,1,0,0.0,0.0,,,
HOLM MICHAEL J KITFOX IV 1200,1,0,0.0,0.0,,,
HOLMES ARTHUR ORMAN KITFOX IV,1,0,0.0,0.0,,,
HOLMES GARY DON RUTAN LONG-EZ,1,0,0.0,0.0,,,
HOLMGREEN JOHN B RV8A,1,0,0.0,0.0,,,
HOLMGREN BEARHAWK,1,0,0.0,0.0,,,
HOLMLUND VICTOR P AURIGA,1,0,0.0,0.0,,,
HOLSCLAW FRANCIS E STARDUSTER,1,0,0.0,0.0,,,
HOLST LAWRENCE E VP-1,1,0,0.0,0.0,,,
HOLT HERBERT L LONG EZ,1,0,0.0,0.0,,,
HONDA AIRCRAFT CO LLC HA-420,3,0,0.0,0.0,,,
HONDA AIRCRAFT HA-420,2,0,0.0,0.0,,,
HONDA HA-420,1,0,0.0,0.0,,,
HONDA JET HA-420,1,0,0.0,0.0,,,
HOOD JOHN SIDNEY TANGO,1,0,0.0,0.0,,,
HOOD JUNIOR ACE,1,0,0.0,0.0,,,
HOOK ZODIAC CH-650,1,0,0.0,0.0,,,
HOOPER JAMES A BUSHBY MUS,1,1,1.0,1.0,,,
HOOVER DAVID ARNOLD AR 6,1,0,0.0,0.0,,,
HOOVER FRANK RV-8,1,0,0.0,0.0,,,
HOSKINS LONNIE F VELOCITY XL RG,1,0,0.0,0.0,,,
HOSKINS SAMUEL R QUICKIE Q2,1,0,0.0,0.0,,,
HOSKINS ZENITH,1,0,0.0,0.0,,,
HOSTEIN K/HOSTEIN S PIETENPOL,1,0,0.0,0.0,,,
HOUTS AVID MARK IV,1,0,0.0,0.0,,,
HOWARD AIRCRAFT DGA 15P,2,1,1.0,0.5,,,
HOWARD AIRCRAFT DGA-15P,1,0,0.0,0.0,,,
HOWARD DGA 15P,1,0,0.0,0.0,,,
HOWARD LONG EZ,1,0,0.0,0.0,,,
HOWARD M. SHEPHERD SUPERCUB,1,0,0.0,0.0,,,
HOWARD STEVEN C SUPER,1,0,0.0,0.0,,,
HOWARD SUPER SKY RAIDER,1,0,0.0,0.0,,,
HOWARD WILLIAM C KR-2,1,1,1.0,1.0,,,
HOWELL BOB HOWELL SPECIAL,1,0,0.0,0.0,,,
HOWELL FW2C80TR,1,0,0.0,0.0,,,
HOWES RV-6,1,1,1.0,1.0,,,
HOYLE FIGHTER ESCORT WINGS,1,0,0.0,0.0,,,
HROSIK GENE AVENTURA II,1,0,0.0,0.0,,,
HUBBARD WILLIAM H LIGHTNING,1,0,0.0,0.0,,,
HUBBELL PRESCOTT PUSHER,1,0,0.0,0.0,,,
HUBER HARTMUT EXPRESS,1,1,1.0,1.0,,,
HUDSON ZODIAC CH 601 XLB,1,0,0.0,0.0,,,
HUEBBE SONEX HB,1,1,1.0,1.0,,,
HUEBNER RV6-A,1,0,0.0,0.0,,,
HUGHES AERO CORP PREDATOR,1,0,0.0,0.0,,,
HUGHES CHARLES R ZODIAC 601XL,1,0,0.0,0.0,,,
HUGHES J/HUGHES J RAND-ROBINSON,1,0,0.0,0.0,,,
HUMMEL / FINBERG ULTRA CRUISER,1,0,0.0,0.0,,,
HUMMELBIRD HUMMELBIRD,1,0,0.0,0.0,,,
HUNDLEY MICHAEL J VANS RV8,1,0,0.0,0.0,,,
HUNTER A-20 VISTA CRUISER,1,0,0.0,0.0,,,
HUNTER GEORGE RV 6,1,0,0.0,0.0,,,
HUNZIKER EROS 1650R,1,0,0.0,0.0,,,
HURLEY RICHARD A CAVALIER SA102.5,1,0,0.0,0.0,,,
HUSTON CHARLES D PITTS S-12,1,0,0.0,0.0,,,
HUTCHINSON KENNETH A VELOCITY RG,1,1,1.0,1.0,,,
HUTSON STAR-LITE,1,0,0.0,0.0,,,
HUTTON KR-2,1,0,0.0,0.0,,,
HY-TEK HURRICANE,1,1,1.0,1.0,,,
IAI 1124,1,1,2.0,2.0,,,
IAI 1125,2,0,0.0,0.0,,,
IAI GULFSTREAM200,1,0,0.0,0.0,,,
ICON A-5,1,0,0.0,0.0,,,
ICON A5,3,0,0.0,0.0,,,
ICON AIRCRAFT INC A5,3,2,3.0,1.0,,,
ICP SAVANNAH,1,0,0.0,0.0,,,
ICP SRL SAVANNAH S,1,0,0.0,0.0,,,
ILYUSHIN IL-103,1,1,2.0,2.0,,,
INDEPENDENT TECHNOLOGIES INC EPIC LT,1,1,2.0,2.0,,,
INDONESIAN AEROSPACE 212,1,1,5.0,5.0,,,
INDUS AVIATION INC T-211 THORPEDO,1,0,0.0,0.0,,,
INDUS AVIATION INC. T-211 THORPEDO,1,0,0.0,0.0,,,
INDUS T211 THORPEDO,1,0,0.0,0.0,,,
INDY AIRCRAFT LTD T-BIRD II,1,0,0.0,0.0,,,
INGRAHAM RV-6,1,1,1.0,1.0,,,
INHOFE/ DAVIS VANS RV-8,1,0,0.0,0.0,,,
INIZIATIVE INDUSTRIALI ITALIAN SKY ARROW 600,1,1,1.0,1.0,,,
INIZIATIVE INDUSTRIALI ITALIAN SKY ARROW 600 SPORT,2,0,0.0,0.0,,,
INIZIATIVE SKY ARROW,1,0,0.0,0.0,,,
INMAN J D KOLB MARK III,1,0,0.0,0.0,,,
INTERPLANE S R O SKYBOY,1,1,2.0,2.0,,,
INTERPLANE SKYBOY EX,1,0,0.0,0.0,,,
INTERSTATE S-1A,1,0,0.0,0.0,,,
INTERSTATE S-1B1,1,0,0.0,0.0,,,
INTERSTATE S1A,1,0,0.0,0.0,,,
IRLBECK THOMAS H RV 8,1,0,0.0,0.0,,,
IRVIN STEPHEN D RUTAN LONG E Z,1,0,0.0,0.0,,,
ISAAK PAUL G ISAAK SUPER CUB,1,0,0.0,0.0,,,
ISON AIRCRAFT EROS,1,0,0.0,0.0,,,
ISRAEL AEROSPACE INDUSTRIESLTD GULFSTREAM G150,1,0,0.0,0.0,,,
ISRAEL AIRCRAFT INDUSTRIES 1124,2,1,2.0,1.0,,,
ISRAEL AIRCRAFT INDUSTRIES 1124A,2,2,11.0,5.5,,,
ISRAEL AIRCRAFT INDUSTRIES 1125 WESTWIND ASTRA,1,0,0.0,0.0,,,
ISRAEL AIRCRAFT INDUSTRIES F21-C2,1,1,1.0,1.0,,,
ISRAEL AIRCRAFT INDUSTRIES GULFSTREAM 200,4,0,0.0,0.0,,,
ISSITT SONEX,1,1,1.0,1.0,,,
IVERSEN GLASTAR SH-4,1,1,3.0,3.0,,,
J&J ULTRALIGHTS SEA WING,1,0,0.0,0.0,,,
J. E. DOUGLAS STARDUSTER 2,1,0,0.0,0.0,,,
J. SCHILLING S-19,1,0,0.0,0.0,,,
JABIRU 250,1,0,0.0,0.0,,,
JABIRU AIRCRAFT PTY LTD J170-D,1,0,0.0,0.0,,,
JABIRU J230-SP,3,0,0.0,0.0,,,
JABIRU J250,1,0,0.0,0.0,,,
JABIRU J250-SP,1,0,0.0,0.0,,,
JABIRU JABIRU - SP,1,0,0.0,0.0,,,
JABIRU SP 250,1,0,0.0,0.0,,,
JABIRU USA SPORT AIRCRAFT J250-SP,1,0,0.0,0.0,,,
JABIRU USA SPORT AIRCRAFT LLC J170-SP,1,0,0.0,0.0,,,
JABIRU USA SPORT AIRCRAFT LLC J230-SP,4,0,0.0,0.0,,,
JABIRU USA SPORT AIRCRAFT LLC J250,1,0,0.0,0.0,,,
JABIRU USA SPORT AIRCRAFT LLC J250 SP,2,0,0.0,0.0,,,
JABIRU USA SPORT AIRCRAFT LLC J250-SP,1,0,0.0,0.0,,,
"JABIRU USA SPORT AIRCRAFT, LLC J250-SP",1,1,1.0,1.0,,,
JACK A FROHBIETER QUESTAIR VENTURE,1,0,0.0,0.0,,,
JACK FEHLING CELEBRITY,1,0,0.0,0.0,,,
JACKSON DENNIS RV-8,1,1,2.0,2.0,,,
JACKSON FRED M CLIPPER,1,0,0.0,0.0,,,
JACKSON JEREMIAH D VANS RV6A,1,0,0.0,0.0,,,
JACKSON VELOCITY,1,0,0.0,0.0,,,
JACOBS RV-6A,1,0,0.0,0.0,,,
JACQUNEAUX GLEN R CGS HAWK,1,0,0.0,0.0,,,
JAHNKE LIONEL G GLASAIR III,1,1,1.0,1.0,,,
JAHNS VANS RV-7,1,1,1.0,1.0,,,
JAMES A GRAY JUST AIRCRAFT,1,0,0.0,0.0,,,
JAMES B. TAPLIN RV-6,1,1,2.0,2.0,,,
JAMES BRUTON FLYING FLEA,1,0,0.0,0.0,,,
JAMES C GEYMAN RV-9A,1,0,0.0,0.0,,,
JAMES D RIGGS RV-10,1,0,0.0,0.0,,,
JAMES DONALD BAKER ZENITH,1,1,1.0,1.0,,,
JAMES E CAUSEY ACRODUSTER II,1,1,2.0,2.0,,,
JAMES EXPERIMENTAL CUB,1,0,0.0,0.0,,,
JAMES H BERARD RV-6A,1,0,0.0,0.0,,,
JAMES KILROY PITTS MODEL 12,1,0,0.0,0.0,,,
JAMES M RAULERSON CH 750,1,0,0.0,0.0,,,
JAMES O'BERT VARI-EZE,1,1,1.0,1.0,,,
JAMES R DERNOVSEK KITFOX S5,1,0,0.0,0.0,,,
JAMES WIEBE BELITE PIPPER,1,0,0.0,0.0,,,
JANNAKOS GREGORY P ZODIAC 601 HDS,1,0,0.0,0.0,,,
JANS ROBERT FALCON XP,1,0,0.0,0.0,,,
JANSEN PAZMANY PL 2,1,1,1.0,1.0,,,
JANTZEN EVANS VP,1,0,0.0,0.0,,,
JAVRON EXPERIMENTAL PA18 REPLICA,1,0,0.0,0.0,,,
JAVRON PA-18 REPLICA,1,0,0.0,0.0,,,
JDT 1600R,1,1,1.0,1.0,,,
JDT MINI-MAX LLC 1500R,1,1,1.0,1.0,,,
JEFF JARDINE KITFOX S7 SUPERSPORT,1,0,0.0,0.0,,,
JEFFAIR BARRACUDA,1,0,0.0,0.0,,,
JEFFERY D TUTTLE BDK CARBON CONCEPTS,1,0,0.0,0.0,,,
JEFFKO GLASAIR,1,1,1.0,1.0,,,
JENKINS JACK GLASTAR SP,1,0,0.0,0.0,,,
JENKINS RV-7A,1,1,1.0,1.0,,,
JENNINGS JOHN C MINI MAX,1,1,1.0,1.0,,,
JEREMIAH JACKSON VANS RV-10,1,0,0.0,0.0,,,
JEROME A BAAK CH 601XL,1,0,0.0,0.0,,,
JEROME D FISCHER RV-7,1,0,0.0,0.0,,,
JESS LLC JUST AIRCRAFT SUPERS,1,0,0.0,0.0,,,
JESSE SAINT/TROY TOWNSEND/ETHA CH-801,1,0,0.0,0.0,,,
JETPROP DLX PIPER PA46,1,1,2.0,2.0,,,
JETSON'S AVIATION LLC AIRCAM,1,0,0.0,0.0,,,
JEWETT BRANDON RV 6,1,0,0.0,0.0,,,
JEWETT SC-360,1,0,0.0,0.0,,,
JIHLAVAN AIRPLANES SRO KP 5 ASA,1,1,2.0,2.0,,,
JIHLAVAN AIRPLANES SRO KP5,1,0,0.0,0.0,,,
JIHLAVAN KP,1,0,0.0,0.0,,,
JIHLAVAN KP 5 ASA,1,0,0.0,0.0,,,
JIHLAVAN KP-5,1,0,0.0,0.0,,,
JIM BRADDOCK JUST AIRCRAFT HIGHLA,1,0,0.0,0.0,,,
JIM GREEN CCX,1,0,0.0,0.0,,,
JIM RIGGS AK RIDGE RUNNER,1,0,0.0,0.0,,,
JIMENEZ VANS RV 7A,1,0,0.0,0.0,,,
JM KEMP RT13B,1,1,2.0,2.0,,,
JOBY AERO INC JAS4-2,1,0,0.0,0.0,,,
JOE SALOMONE SUPER CUB SQ2,2,0,0.0,0.0,,,
JOEL A BOWKER RAGWING S1,1,0,0.0,0.0,,,
JOHN GOODMAN AIR CAMPER,1,0,0.0,0.0,,,
JOHN M CORNEAL SUB-SONEX,1,1,1.0,1.0,,,
JOHN MURPHY JSX-2,1,0,0.0,0.0,,,
JOHN SAMPLE BEARHAWK,1,0,0.0,0.0,,,
JOHN STEVEN CATURIA REPLICA PA18,1,0,0.0,0.0,,,
JOHN V RAWSON JR SPRINT II,1,0,0.0,0.0,,,
JOHNSON BARRON T LANCAIR 360,1,0,0.0,0.0,,,
JOHNSON COOT,1,1,1.0,1.0,,,
JOHNSON DAVID EARL RENEGADE SPIRIT,1,1,1.0,1.0,,,
JOHNSON GARRET W MERLIN GT,1,0,0.0,0.0,,,
JOHNSON GARY PA 18 SUPER CUB KIT,1,0,0.0,0.0,,,
JOHNSON GERALD CR-1,1,0,0.0,0.0,,,
JOHNSON GLASTAR,1,0,0.0,0.0,,,
JOHNSON GLENN L ZODIAC 601 XL,1,0,0.0,0.0,,,
JOHNSON HARMON ROCKET,1,1,1.0,1.0,,,
JOHNSON JERRY WAG AERO/SPT TRAINER,1,0,0.0,0.0,,,
JOHNSON JOEL H RANS S-6ES COYOTE II,1,1,1.0,1.0,,,
JOHNSON KENNETH R STOL CH 801,1,0,0.0,0.0,,,
JOHNSON KENNETH SUPER CUB SPORT,1,0,0.0,0.0,,,
JOHNSON KENNETH W SUPER CUB SPORT,1,0,0.0,0.0,,,
JOHNSON LEONARD G COZY MK-IV,1,0,0.0,0.0,,,
JOHNSTON COYT E T-18,1,0,0.0,0.0,,,
JOHNSTON WILLIAM ALFRED JR KOLB MARK III,1,0,0.0,0.0,,,
JONES COZY MARK IV,1,0,0.0,0.0,,,
JONES HATZ CB1,1,0,0.0,0.0,,,
JONES KENT C VANS RV-10,1,0,0.0,0.0,,,
JONES KITFOX III,1,0,0.0,0.0,,,
JONES PETER M BOEING/JONES 75,1,0,0.0,0.0,,,
JONES RALPH D ZODIAC  CH 601 HD,1,1,1.0,1.0,,,
JONES RODNEY V WITTMAN TA,1,0,0.0,0.0,,,
JONES RONALD C BEARHAWK,1,0,0.0,0.0,,,
JONES SA105,1,0,0.0,0.0,,,
JONSSON SONERAI,1,0,0.0,0.0,,,
JOPLIN TUNDRA,1,1,1.0,1.0,,,
JORDAN BRUCE C PITTS S2E,1,1,1.0,1.0,,,
JORDAN DON R VANS RV-6A,1,0,0.0,0.0,,,
JORDAN JOHN RV7,1,1,2.0,2.0,,,
JORDAN VALLEY LLC CCX-2000,1,0,0.0,0.0,,,
JORRITSMA JERROLD S BERKUT,1,0,0.0,0.0,,,
JOSEPH BENDER MUSTANG II,1,0,0.0,0.0,,,
"JOSEPH C. ANDREWS, JR. VANS",1,1,1.0,1.0,,,
JOY AVIATION LTD VANS RV-6,1,0,0.0,0.0,,,
JUDD CHALLENGER II,1,0,0.0,0.0,,,
JUDE MIKE C SIDE WINDER,1,0,0.0,0.0,,,
JUNEAU (ZENITH AIRCRAFT CO) STOL CH-701,1,0,0.0,0.0,,,
JURCAN SEAWIND 3000,1,0,0.0,0.0,,,
JURMU STOL CH701,1,1,1.0,1.0,,,
JUST AIRCRAFT HIGHLANDER,2,0,0.0,0.0,,,
JUST AIRCRAFT LLC ESCAPADE,1,1,1.0,1.0,,,
JUST AIRCRAFT LLC HIGHLANDER,2,0,0.0,0.0,,,
JUST AIRCRAFT LLC JA30 SUPERSTOL,1,0,0.0,0.0,,,
JUST HIGHLANDER,1,1,2.0,2.0,,,
JUST JA30 SUPERSTOL,5,1,1.0,0.2,,,
JUST JUST AIRCRAFT (HIGHL,1,0,0.0,0.0,,,
JUSTICE FRANK K VANS RV-6A,1,0,0.0,0.0,,,
JUVE RICHARD G ZODIAC CH601 HDS,1,0,0.0,0.0,,,
KADE AVENTURA II,1,0,0.0,0.0,,,
KAI ENGSTAD RV-8A,1,0,0.0,0.0,,,
KAKELDEY RONALD O SMITH PA12 EXP,1,0,0.0,0.0,,,
KALDOR GREGORY N ZENITH 701,1,0,0.0,0.0,,,
KALMAN GEORGE LANCAIR 360,1,0,0.0,0.0,,,
KAMINSKAS RTH JUNGSTER 1,1,0,0.0,0.0,,,
KAMTZ RUSSELL H RV-6A,1,0,0.0,0.0,,,
KAMTZ RV-7A,1,1,2.0,2.0,,,
KARIBIAN HURANT THORP T-18,1,0,0.0,0.0,,,
KARNS SKY RANGER,1,0,0.0,0.0,,,
KARPAYEV VLADYSLAV V RV-9,1,0,0.0,0.0,,,
KAUFMANN VANS RV-10,1,0,0.0,0.0,,,
KAYLOR J E/STRAHLMANN R L RV-4,1,1,1.0,1.0,,,
KEELEY/TIDD MK-1,1,1,1.0,1.0,,,
KEESLER W8 TAILWIND,1,0,0.0,0.0,,,
KEITHLEY THOMAS E STARDUSTER TOO,1,1,2.0,2.0,,,
KELLER FK1 STOL,1,0,0.0,0.0,,,
KELLEY DERRICK/LEZA AIRCAM,1,0,0.0,0.0,,,
KELLY F1D,1,1,1.0,1.0,,,
KELM DAVID KITFOX 7,1,0,0.0,0.0,,,
KEN OLSON SCAMP,1,0,0.0,0.0,,,
KENDALL W R/MCLAUGHLIN J RANS S-10 SAKOTA,1,0,0.0,0.0,,,
KENNEDY LANCAIR 320,1,1,1.0,1.0,,,
KENNEDY MICHAEL M LANCAIR 320,1,0,0.0,0.0,,,
KENNETH A BERGER SEAREY LSX,1,1,1.0,1.0,,,
KENNETH B HINES NIEUPORT 28,1,0,0.0,0.0,,,
KENNETH K KNOWLES SONEX,1,0,0.0,0.0,,,
KENNETH M FRANZ ULTRA PUP,1,0,0.0,0.0,,,
KENNEY RV6,1,0,0.0,0.0,,,
KERR GERALD VELOCITY SUV,1,0,0.0,0.0,,,
KERR JOHN A KITFOX CLASSIC IV,1,0,0.0,0.0,,,
KERR MATTHEW STARDUSTER TOO,1,0,0.0,0.0,,,
KESSINGER ROGER L RANS COYOTE,1,0,0.0,0.0,,,
KEUTHAN AIRCRAFT CORP BUCCANEER II,1,0,0.0,0.0,,,
KEUTHAN BUCCANEER II,1,1,1.0,1.0,,,
KEVIN D. YARNEVICH KITFOX,1,1,1.0,1.0,,,
KEVIN ELDREDGE STEWART,1,1,1.0,1.0,,,
KEVIN LIPPERT ZENITH CH 750,1,0,0.0,0.0,,,
KEVIN METZLER VELOCITY STD RG,1,0,0.0,0.0,,,
KEVIN P STOLHAMMER KR 1,1,0,0.0,0.0,,,
KEVIN WILKINSON EASY EAGLE 1,1,0,0.0,0.0,,,
KIDD CHRIS HARMON ROC,1,1,1.0,1.0,,,
KILISHEK GEORGE T RV-8,1,0,0.0,0.0,,,
KILLGORE VELOCITY,1,1,1.0,1.0,,,
KIMBALL ENTERPRISES INC PITTS MODEL-12,1,0,0.0,0.0,,,
KINCAID WADE DAKOTA HAWK,1,0,0.0,0.0,,,
KINDIG SONEX,1,0,0.0,0.0,,,
KING JOHN E JR KITFOX,1,0,0.0,0.0,,,
KINGERY MICHAEL C ZENITH CH-750,1,0,0.0,0.0,,,
KINNER SPORTSTER B,1,0,0.0,0.0,,,
KINNEY KEVIN ZENITH 601XL,1,0,0.0,0.0,,,
KINSLER ARTHUR PAUL KINSLER LANCAIR/MKII,1,0,0.0,0.0,,,
KIRBYBILT AIRCRAFT XCALIBUR,1,0,0.0,0.0,,,
KIRK ELLIS WENDELL PTUNDRADACTYL,1,0,0.0,0.0,,,
KIRKPATRICK BUZZARD,1,0,0.0,0.0,,,
KITFOX 4-1200,1,0,0.0,0.0,,,
KITFOX 57 SUPER SPORT,1,0,0.0,0.0,,,
KITFOX 7,1,1,2.0,2.0,,,
KITFOX CLASSIC 4,1,0,0.0,0.0,,,
KITFOX IV,1,0,0.0,0.0,,,
KITFOX IV 1200,1,0,0.0,0.0,,,
KITFOX KITFOX,1,1,1.0,1.0,,,
KITFOX KITFOX SPORT,1,0,0.0,0.0,,,
KITFOX MODEL 2,1,0,0.0,0.0,,,
KITFOX S7,3,0,0.0,0.0,,,
KITFOX SERIES 5,1,0,0.0,0.0,,,
KITFOX SERIES 6,1,1,1.0,1.0,,,
KITFOX SERIES 7,1,0,0.0,0.0,,,
KITFOX STI,1,0,0.0,0.0,,,
KITTY HAWK HEAVISIDE2,1,0,0.0,0.0,,,
KJONAAS VARIEZE,1,0,0.0,0.0,,,
KJOSTAD JORGEN A WAGABOND,1,0,0.0,0.0,,,
KLAAS DEVELOPMENT INC LANCAIR IV P,1,1,1.0,1.0,,,
KLAPP PETER A KLAPP KR-2S,1,1,1.0,1.0,,,
KLEMME WILLIAM H ZENITH CH 701,1,1,1.0,1.0,,,
KLEMP GREGORY J CHALLENGER II,1,1,1.0,1.0,,,
KNAPP EASY RAIDER,1,0,0.0,0.0,,,
KNAUF RV-7,1,0,0.0,0.0,,,
KNIGHT AA NIEUPORT 28,1,1,1.0,1.0,,,
KNOTT VERNON W ZENITH 750,1,0,0.0,0.0,,,
KNOX MARION L RV-6A,1,0,0.0,0.0,,,
KOCIEMBA ROBERT H T-BIRD II,1,1,2.0,2.0,,,
KOEN LANCAIR LASER IV-P,1,1,2.0,2.0,,,
KOLB AIRCRAFT CO MK-3,1,0,0.0,0.0,,,
KOLB AIRCRAFT INC KOLB MARK III,1,0,0.0,0.0,,,
KOLB FIRE FLY,1,0,0.0,0.0,,,
KOLB FIRESTAR,3,1,1.0,0.3333333333333333,,,
KOLB FIRESTAR 2,1,1,1.0,1.0,,,
KOLB FIRESTAR II,1,0,0.0,0.0,,,
KOLB KOLB TWINSTAR TSP 1,1,0,0.0,0.0,,,
KOLB KOLBRA,1,1,1.0,1.0,,,
KOLB MARK II,1,0,0.0,0.0,,,
KOLB MARK III,2,2,2.0,1.0,,,
KOLB TWINSTAR,2,2,3.0,1.5,,,
KOLENO TITAN T-51,1,0,0.0,0.0,,,
KOONS DONALD H CYGNET,1,0,0.0,0.0,,,
KOSTRAZEWA ANDRE SONEX LIGHT SPORT,1,1,2.0,2.0,,,
KOTH LARRY JABIRU CALYPSO,1,0,0.0,0.0,,,
KOVARS GARY D ZENITH ZODIAK 601XL,1,0,0.0,0.0,,,
KRAL SERIES 5 KITFOX,1,0,0.0,0.0,,,
KRAMER CLEMENS E STOL CH750,1,0,0.0,0.0,,,
KRELING SUPERCAT,1,0,0.0,0.0,,,
KREPS THORP T-18-C,1,0,0.0,0.0,,,
KRIPS JACK E JR KOLB MK III,1,0,0.0,0.0,,,
KRUSMARK DAVID HOMER SEAREY,1,0,0.0,0.0,,,
KUBASSEK DAVID ZENITH 601,1,0,0.0,0.0,,,
KUMHYR DAVID B VANS RV-8A,1,0,0.0,0.0,,,
KUNDEL VANS RV 7A,1,1,1.0,1.0,,,
KURTZ JAY B RV-9A,1,0,0.0,0.0,,,
KUYKENDALL CHARLES LANCAIR IV,1,0,0.0,0.0,,,
KWECH GLASAIR RG SUPER 11S,1,0,0.0,0.0,,,
KYLE M SWARD / LARRY W SWARD CH 750 CRUZER,1,0,0.0,0.0,,,
L GOLDNER ZENITH 701,1,0,0.0,0.0,,,
L-BIRD LLC CCX-2000,2,0,0.0,0.0,,,
LA MOUTTE TRIKE,1,0,0.0,0.0,,,
LACOUR LONG-EZE SR7-1,1,0,0.0,0.0,,,
LAIRD LC-1B-300,1,0,0.0,0.0,,,
LAKE 250,1,1,3.0,3.0,,,
LAKE JOHN K MA-5 CHARGER,1,0,0.0,0.0,,,
LAKE L-4,1,0,0.0,0.0,,,
LAKE LA 4,1,0,0.0,0.0,,,
LAKE LA 4 200,1,0,0.0,0.0,,,
LAKE LA-4,4,0,0.0,0.0,,,
LAKE LA-4-200,5,1,2.0,0.4,,,
LAKE LA4,5,1,2.0,0.4,,,
LAKE LA4 - 200,1,1,2.0,2.0,,,
LAMB-ROBIN BOWERS FLY BABY,1,0,0.0,0.0,,,
LAMBERT JOHN G VARIEZE,1,1,1.0,1.0,,,
LAMINAR LANCAIR 360,1,0,0.0,0.0,,,
LANCAIR 235,2,1,2.0,1.0,,,
LANCAIR 320,1,0,0.0,0.0,,,
LANCAIR 360,1,0,0.0,0.0,,,
LANCAIR 360 - NO SERIES,1,1,2.0,2.0,,,
LANCAIR COMPANY COLUMBIA 400,1,0,0.0,0.0,,,
LANCAIR COMPANY LC 40 550FG,2,1,3.0,1.5,,,
LANCAIR COMPANY LC41 550FG,1,0,0.0,0.0,,,
LANCAIR COMPANY LC41-550FG,1,0,0.0,0.0,,,
LANCAIR COMPANY LC42-550FG,2,0,0.0,0.0,,,
LANCAIR ES,1,0,0.0,0.0,,,
LANCAIR ES - NO SERIES,1,0,0.0,0.0,,,
LANCAIR EVOLUTION,1,1,2.0,2.0,,,
LANCAIR IV,4,0,0.0,0.0,,,
LANCAIR IV-P,1,1,3.0,3.0,,,
LANCAIR LANCAIR,1,0,0.0,0.0,,,
LANCAIR LANCAIR 320,1,0,0.0,0.0,,,
LANCAIR LANCAIR IV,1,1,2.0,2.0,,,
LANCAIR LANCAIR SUPER ES,1,1,1.0,1.0,,,
LANCAIR LC41,4,1,1.0,0.25,,,
LANCAIR LC41-550FG,2,0,0.0,0.0,,,
LANCAIR LC42 - 550FG,1,1,2.0,2.0,,,
LANCAIR LEGACY,2,2,3.0,1.5,,,
LANCAIR LEGACY FG,1,1,1.0,1.0,,,
LANCAIR LEGACY RG,1,1,1.0,1.0,,,
LANCAIR PROPJET,1,0,0.0,0.0,,,
LANCAIR SUPER ES,1,0,0.0,0.0,,,
LANCE M HOOLEY JETEZ,1,1,1.0,1.0,,,
LANDRUM KELLY T VANS RV6,1,0,0.0,0.0,,,
"LANGSTON, FREDERICK L RV 4",1,1,1.0,1.0,,,
